"codigo","componente","segunda_linha"
"C0BE2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BE9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BEA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BEB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BEC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BED","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BEE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BEF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BF9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BFA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BFB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BFC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BFD","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BFE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0BFF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C00","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C01","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C02","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C03","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C04","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C05","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C06","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C07","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C08","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C09","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C0A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C0B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C0C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C0D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C0E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C0F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C10","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C11","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C12","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C13","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C14","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C15","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C16","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C17","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C18","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C19","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C1A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C1B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C1C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C1D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C1E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C1F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C20","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C21","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C22","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C23","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C24","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C25","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C26","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C27","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C28","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C29","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C2A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C2B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C2C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C2D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C2E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C2F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C30","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C31","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C32","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C33","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C34","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C35","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C36","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C37","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C38","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C39","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C3A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C3B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C3C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C3D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C3E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C3F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C40","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C41","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C42","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C43","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C44","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C45","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C46","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C47","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C48","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C49","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C4A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C4B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C4C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C4D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C4E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C4F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C50","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C51","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C52","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C53","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C54","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C55","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C56","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C57","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C58","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C59","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C5A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C5B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C5C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C5D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C5E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C5F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C60","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C61","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C62","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C63","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C64","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C65","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C66","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C67","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C68","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C69","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C6A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C6B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C6C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C6D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C6E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C6F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C70","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C71","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C72","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C73","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C74","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C75","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C76","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C77","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C78","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C79","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C7A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C7B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C7C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C7D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C7E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C7F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C80","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C81","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C82","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C83","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C84","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C85","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C86","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C87","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C88","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C89","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C8A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C8B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C8C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C8D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C8E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C8F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C90","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C91","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C92","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C93","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C94","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C95","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C96","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C97","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C98","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C99","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C9A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C9B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C9C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C9D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C9E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0C9F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CA9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CAA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CAB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CAC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CAD","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CAE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CAF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CB9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CBA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CBB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CBC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CBD","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CBE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CBF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CC9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CCA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CCB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CCC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CCD","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CCE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CCF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CD9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CDA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CDB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CDC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CDD","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CDE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CDF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CE9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CEA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CEB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CEC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CED","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CEE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CEF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF0","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF1","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF2","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF3","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF4","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF5","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF6","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF7","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF8","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CF9","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CFA","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CFB","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CFC","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CFD","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CFE","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0CFF","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D00","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D01","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D02","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D03","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D04","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D05","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D06","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D07","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D08","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D09","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D0A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D0B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D0C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D0D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D0E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D0F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D10","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D11","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D12","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D13","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D14","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D15","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D16","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D17","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D18","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D19","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D1A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D1B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D1C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D1D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D1E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D1F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D20","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D21","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D22","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D23","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D24","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D25","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D26","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D27","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D28","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D29","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D2A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D2B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D2C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D2D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D2E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D2F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D30","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D31","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D32","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D33","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D34","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D35","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D36","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D37","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D38","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D39","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D3A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D3B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D3C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D3D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D3E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D3F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D40","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D41","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D42","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D43","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D44","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D45","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D46","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D47","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D48","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D49","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D4A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D4B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D4C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D4D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D4E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D4F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D50","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D51","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D52","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D53","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D54","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D55","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D56","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D57","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D58","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D59","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D5A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D5B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D5C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D5D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D5E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D5F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D60","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D61","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D62","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D63","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D64","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D65","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D66","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D67","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D68","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D69","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D6A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D6B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D6C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D6D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D6E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D6F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D70","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D71","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D72","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D73","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D74","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D75","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D76","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D77","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D78","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D79","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D7A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D7B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D7C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D7D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D7E","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D7F","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D80","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D81","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D82","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D83","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D84","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D85","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D86","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D87","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D88","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D89","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D8A","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D8B","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D8C","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D8D","Código reservado para uso futuro pelas normas ISO/SAE.",
"C0D8E","Código reservado para uso futuro pelas normas ISO/SAE.",
